domain,id,question,answer,notes,source
Encryption & Key Management,EKM-03.4,"Do you have documentation establishing and defining your encryption management policies, procedures, and guidelines?",N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Encryption & Key Management,EKM-04.1,Do you have platform and data appropriate encryption that uses open/validated formats and standard algorithms?,N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Encryption & Key Management,EKM-04.2,Are your encryption keys maintained by the cloud consumer or a trusted key management provider?,N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Encryption & Key Management,EKM-04.3,Do you store encryption keys in the cloud?,N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Encryption & Key Management,EKM-04.4,Do you have separate key management and key usage duties?,N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Governance and Risk Management,GRM-01.1,"Do you have documented information security baselines for every component of your infrastructure (e.g., hypervisors, operating systems, routers, DNS servers, etc.)?",Axsion to answer,An organisational policy of ITService EOOD. Not documented in the Lunos repository; to be answered by Axsion.,
Governance and Risk Management,GRM-01.2,Do you have the capability to continuously monitor and report the compliance of your infrastructure against your information security baselines?,Axsion to answer,An organisational policy of ITService EOOD. Not documented in the Lunos repository; to be answered by Axsion.,
Governance and Risk Management,GRM-01.3,Do you allow your clients to provide their own trusted virtual machine image to ensure conformance to their own internal standards?,Axsion to answer,An organisational policy of ITService EOOD. Not documented in the Lunos repository; to be answered by Axsion.,
Governance and Risk Management,GRM-02.1,Do you provide security control health data in order to allow tenants to implement industry standard Continuous Monitoring (which allows continual tenant validation of your physical and logical control status)?,Axsion to answer,An organisational policy of ITService EOOD. Not documented in the Lunos repository; to be answered by Axsion.,
Governance and Risk Management,GRM-02.2,Do you conduct risk assessments associated with data governance requirements at least once a year?,Axsion to answer,An organisational policy of ITService EOOD. Not documented in the Lunos repository; to be answered by Axsion.,
Governance and Risk Management,GRM-03.1,"Are your technical, business, and executive managers responsible for maintaining awareness of and compliance with security policies, procedures, and standards for both themselves and their employees as they pertain to the manager and employees' area of responsibility?",Axsion to answer,An organisational policy of ITService EOOD. Not documented in the Lunos repository; to be answered by Axsion.,
Governance and Risk Management,GRM-04.1,Do you provide tenants with documentation describing your Information Security Management Program (ISMP)?,Partial,The security posture is documented in SECURITY.md and this Trust pack. There is no formal ISMS.,https://github.com/AxsionDev/Lunos/blob/dev/docs/trust/README.md
Governance and Risk Management,GRM-04.2,Do you review your Information Security Management Program (ISMP) at least once a year?,Axsion to answer,An organisational policy of ITService EOOD. Not documented in the Lunos repository; to be answered by Axsion.,
Governance and Risk Management,GRM-05.1,Do you ensure your providers adhere to your information security and privacy policies?,Axsion to answer,An organisational policy of ITService EOOD. Not documented in the Lunos repository; to be answered by Axsion.,
Governance and Risk Management,GRM-06.1,"Do your information security and privacy policies align with industry standards (ISO-27001, ISO-22307, CoBIT, etc.)?",Axsion to answer,An organisational policy of ITService EOOD. Not documented in the Lunos repository; to be answered by Axsion.,
Governance and Risk Management,GRM-06.2,Do you have agreements to ensure your providers adhere to your information security and privacy policies?,Axsion to answer,An organisational policy of ITService EOOD. Not documented in the Lunos repository; to be answered by Axsion.,
Governance and Risk Management,GRM-06.3,"Can you provide evidence of due diligence mapping of your controls, architecture, and processes to regulations and/or standards?",Axsion to answer,An organisational policy of ITService EOOD. Not documented in the Lunos repository; to be answered by Axsion.,
Governance and Risk Management,GRM-06.4,"Do you disclose which controls, standards, certifications, and/or regulations you comply with?",Yes,The claim table states exactly what is claimed; no certification or regulatory compliance is claimed.,https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md#2-what-is-true-today--the-sovereignty-claim-stated-precisely
Governance and Risk Management,GRM-07.1,Is a formal disciplinary or sanction policy established for employees who have violated security policies and procedures?,Axsion to answer,An organisational policy of ITService EOOD. Not documented in the Lunos repository; to be answered by Axsion.,
Governance and Risk Management,GRM-07.2,Are employees made aware of what actions could be taken in the event of a violation via their policies and procedures?,Axsion to answer,An organisational policy of ITService EOOD. Not documented in the Lunos repository; to be answered by Axsion.,
Governance and Risk Management,GRM-08.1,"Do risk assessment results include updates to security policies, procedures, standards, and controls to ensure they remain relevant and effective?",Axsion to answer,An organisational policy of ITService EOOD. Not documented in the Lunos repository; to be answered by Axsion.,
Governance and Risk Management,GRM-09.1,Do you notify your tenants when you make material changes to your information security and/or privacy policies?,Axsion to answer,An organisational policy of ITService EOOD. Not documented in the Lunos repository; to be answered by Axsion.,
Governance and Risk Management,GRM-09.2,"Do you perform, at minimum, annual reviews to your privacy and security policies?",Axsion to answer,An organisational policy of ITService EOOD. Not documented in the Lunos repository; to be answered by Axsion.,
Governance and Risk Management,GRM-10.1,"Are formal risk assessments aligned with the enterprise-wide framework and performed at least annually, or at planned intervals, determining the likelihood and impact of all identified risks, using qualitative and quantitative methods?",Axsion to answer,An organisational policy of ITService EOOD. Not documented in the Lunos repository; to be answered by Axsion.,
Governance and Risk Management,GRM-10.2,"Is the likelihood and impact associated with inherent and residual risk determined independently, considering all risk categories (e.g., audit results, threat and vulnerability analysis, and regulatory compliance)?",Axsion to answer,An organisational policy of ITService EOOD. Not documented in the Lunos repository; to be answered by Axsion.,
Governance and Risk Management,GRM-11.1,"Do you have a documented, organization-wide program in place to manage risk?",Axsion to answer,An organisational policy of ITService EOOD. Not documented in the Lunos repository; to be answered by Axsion.,
Governance and Risk Management,GRM-11.2,Do you make available documentation of your organization-wide risk management program?,Axsion to answer,An organisational policy of ITService EOOD. Not documented in the Lunos repository; to be answered by Axsion.,
Human Resources,HRS-01.1,Are systems in place to monitor for privacy breaches and notify tenants expeditiously if a privacy event may have impacted their data?,N/A,"ITService EOOD holds no customer data, so has no privacy breach of customer data to detect. See the data-protection note.",https://github.com/AxsionDev/Lunos/blob/dev/docs/trust/data-protection.md
Human Resources,HRS-01.2,Is your Privacy Policy aligned with industry standards?,Axsion to answer,An organisational policy of ITService EOOD. Not documented in the Lunos repository; to be answered by Axsion.,
Human Resources,HRS-02.1,"Pursuant to local laws, regulations, ethics, and contractual constraints, are all employment candidates, contractors, and involved third parties subject to background verification?",Axsion to answer,An organisational policy of ITService EOOD. Not documented in the Lunos repository; to be answered by Axsion.,
Human Resources,HRS-03.1,Do you specifically train your employees regarding their specific role and the information security controls they must fulfill?,Axsion to answer,An organisational policy of ITService EOOD. Not documented in the Lunos repository; to be answered by Axsion.,
Human Resources,HRS-03.2,Do you document employee acknowledgment of training they have completed?,Axsion to answer,An organisational policy of ITService EOOD. Not documented in the Lunos repository; to be answered by Axsion.,
Human Resources,HRS-03.3,Are all personnel required to sign NDA or Confidentiality Agreements as a condition of employment to protect customer/tenant information?,Axsion to answer,An organisational policy of ITService EOOD. Not documented in the Lunos repository; to be answered by Axsion.,
Human Resources,HRS-03.4,Is successful and timed completion of the training program considered a prerequisite for acquiring and maintaining access to sensitive systems?,Axsion to answer,An organisational policy of ITService EOOD. Not documented in the Lunos repository; to be answered by Axsion.,
Human Resources,HRS-03.5,Are personnel trained and provided with awareness programs at least once a year?,Axsion to answer,An organisational policy of ITService EOOD. Not documented in the Lunos repository; to be answered by Axsion.,
Human Resources,HRS-04.1,"Are documented policies, procedures, and guidelines in place to govern change in employment and/or termination?",Axsion to answer,An organisational policy of ITService EOOD. Not documented in the Lunos repository; to be answered by Axsion.,
Human Resources,HRS-04.2,Do the above procedures and guidelines account for timely revocation of access and return of assets?,Axsion to answer,An organisational policy of ITService EOOD. Not documented in the Lunos repository; to be answered by Axsion.,
Human Resources,HRS-05.1,"Are policies and procedures established and measures implemented to strictly limit access to your sensitive data and tenant data from portable and mobile devices (e.g., laptops, cell phones, and personal digital assistants (PDAs)), which are generally higher-risk than non-portable devices (e.g., desktop computers at the provider organization’s facilities)?",Axsion to answer,An organisational policy of ITService EOOD. Not documented in the Lunos repository; to be answered by Axsion.,
Human Resources,HRS-06.1,"Are requirements for non-disclosure or confidentiality agreements reflecting the organization's needs for the protection of data and operational details identified, documented, and reviewed at planned intervals?",Axsion to answer,An organisational policy of ITService EOOD. Not documented in the Lunos repository; to be answered by Axsion.,
Human Resources,HRS-07.1,Do you provide tenants with a role definition document clarifying your administrative responsibilities versus those of the tenant?,Axsion to answer,An organisational policy of ITService EOOD. Not documented in the Lunos repository; to be answered by Axsion.,
Human Resources,HRS-08.1,Do you provide documentation regarding how you may access tenant data and metadata?,Yes,"Documented: ITService EOOD has no access to customer data or metadata, and there is no telemetry. The only Lunos-operated host contacted is lunos.tech, for the static marketplace catalogue, and the request carries nothing from the project.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md#touches-lunos-operated-infrastructure
Human Resources,HRS-08.2,"Do you collect or create metadata about tenant data usage through inspection technologies (e.g., search engines, etc.)?",No,No metadata about customer data is collected. Lunos has no telemetry.,https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Human Resources,HRS-08.3,Do you allow tenants to opt out of having their data/metadata accessed via inspection technologies?,N/A,No customer data or metadata is accessed.,
Human Resources,HRS-09.1,"Do you provide a formal, role-based, security awareness training program for cloud-related access and data management issues (e.g., multi-tenancy, nationality, cloud delivery model, segregation of duties implications, and conflicts of interest) for all persons with access to tenant data?",Axsion to answer,An organisational policy of ITService EOOD. Not documented in the Lunos repository; to be answered by Axsion.,
Human Resources,HRS-09.2,Are administrators and data stewards properly educated on their legal responsibilities with regard to security and data integrity?,Axsion to answer,An organisational policy of ITService EOOD. Not documented in the Lunos repository; to be answered by Axsion.,
Human Resources,HRS-10.1,"Are users made aware of their responsibilities for maintaining awareness and compliance with published security policies, procedures, standards, and applicable regulatory requirements?",Axsion to answer,An organisational policy of ITService EOOD. Not documented in the Lunos repository; to be answered by Axsion.,
Human Resources,HRS-10.2,Are users made aware of their responsibilities for maintaining a safe and secure working environment?,Axsion to answer,An organisational policy of ITService EOOD. Not documented in the Lunos repository; to be answered by Axsion.,
Human Resources,HRS-10.3,Are users made aware of their responsibilities for leaving unattended equipment in a secure manner?,Axsion to answer,An organisational policy of ITService EOOD. Not documented in the Lunos repository; to be answered by Axsion.,
Human Resources,HRS-11.1,Do your data management policies and procedures address tenant and service level conflicts of interests?,Axsion to answer,An organisational policy of ITService EOOD. Not documented in the Lunos repository; to be answered by Axsion.,
Human Resources,HRS-11.2,Do your data management policies and procedures include a tamper audit or software integrity function for unauthorized access to tenant data?,Axsion to answer,An organisational policy of ITService EOOD. Not documented in the Lunos repository; to be answered by Axsion.,
Human Resources,HRS-11.3,Does the virtual machine management infrastructure include a tamper audit or software integrity function to detect changes to the build/configuration of the virtual machine?,Axsion to answer,An organisational policy of ITService EOOD. Not documented in the Lunos repository; to be answered by Axsion.,
Identity & Access Management,IAM-01.1,"Do you restrict, log, and monitor access to your information security management systems (e.g., hypervisors, firewalls, vulnerability scanners, network sniffers, APIs, etc.)?",N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Identity & Access Management,IAM-01.2,"Do you monitor and log privileged access (e.g., administrator level) to information security management systems?",N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Identity & Access Management,IAM-02.1,Do you have controls in place ensuring timely removal of systems access that is no longer required for business purposes?,N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Identity & Access Management,IAM-02.2,Do you provide metrics to track the speed with which you are able to remove systems access that is no longer required for business purposes?,N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Identity & Access Management,IAM-03.1,Do you use dedicated secure networks to provide management access to your cloud service infrastructure?,N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Identity & Access Management,IAM-04.1,"Do you manage and store the identity of all personnel who have access to the IT infrastructure, including their level of access?",N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Identity & Access Management,IAM-04.2,"Do you manage and store the user identity of all personnel who have network access, including their level of access?",N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Identity & Access Management,IAM-05.1,Do you provide tenants with documentation on how you maintain segregation of duties within your cloud service offering?,N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Identity & Access Management,IAM-06.1,"Are controls in place to prevent unauthorized access to your application, program, or object source code, and assure it is restricted to authorized personnel only?",Partial,Write access to the source repository is restricted to the AxsionDev GitHub organisation's members. Branch protection is not enabled on `dev`.,
Identity & Access Management,IAM-06.2,"Are controls in place to prevent unauthorized access to tenant application, program, or object source code, and assure it is restricted to authorized personnel only?",N/A,Customer source code stays on the customer's machines; ITService EOOD has no access to it.,https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Identity & Access Management,IAM-07.1,Do you provide multi-failure disaster recovery capability?,N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Identity & Access Management,IAM-07.2,Do you monitor service continuity with upstream providers in the event of provider failure?,N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Identity & Access Management,IAM-07.3,Do you have more than one provider for each service you depend on?,N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Identity & Access Management,IAM-07.4,"Do you provide access to operational redundancy and continuity summaries, including the services you depend on?",N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Identity & Access Management,IAM-07.5,Do you provide the tenant the ability to declare a disaster?,N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Identity & Access Management,IAM-07.6,Do you provide a tenant-triggered failover option?,N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Identity & Access Management,IAM-07.7,Do you share your business continuity and redundancy plans with your tenants?,N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Identity & Access Management,IAM-08.1,Do you document how you grant and approve access to tenant data?,N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Identity & Access Management,IAM-08.2,Do you have a method of aligning provider and tenant data classification methodologies for access control purposes?,N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Identity & Access Management,IAM-09.1,"Does your management provision the authorization and restrictions for user access (e.g., employees, contractors, customers (tenants), business partners, and/or suppliers) prior to their access to data and any owned or managed (physical and virtual) applications, infrastructure systems, and network components?",N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Identity & Access Management,IAM-09.2,"Do you provide upon request user access (e.g., employees, contractors, customers (tenants), business partners and/or suppliers) to data and any owned or managed (physical and virtual) applications, infrastructure systems and network components?",N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Identity & Access Management,IAM-10.1,Do you require at least annual certification of entitlements for all system users and administrators (exclusive of users maintained by your tenants)?,N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Identity & Access Management,IAM-10.2,"If users are found to have inappropriate entitlements, are all remediation and certification actions recorded?",N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Identity & Access Management,IAM-10.3,"Will you share user entitlement remediation and certification reports with your tenants, if inappropriate access may have been allowed to tenant data?",N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Identity & Access Management,IAM-11.1,"Is timely deprovisioning, revocation, or modification of user access to the organizations systems, information assets, and data implemented upon any change in status of employees, contractors, customers, business partners, or involved third parties?",N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Identity & Access Management,IAM-11.2,"Is any change in user access status intended to include termination of employment, contract or agreement, change of employment or transfer within the organization?",N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Identity & Access Management,IAM-12.1,"Do you support use of, or integration with, existing customer-based Single Sign On (SSO) solutions to your service?",N/A,Lunos has no user login to integrate SSO with. The admin-console/SSO decision is recorded in specs/admin-console-sso.md (deferred).,https://github.com/AxsionDev/Lunos/blob/dev/packages/opencode/specs/admin-console-sso.md
Identity & Access Management,IAM-12.2,Do you use open standards to delegate authentication capabilities to your tenants?,N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Identity & Access Management,IAM-12.3,"Do you support identity federation standards (e.g., SAML, SPML, WS-Federation, etc.) as a means of authenticating/authorizing users?",N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Identity & Access Management,IAM-12.4,"Do you have a Policy Enforcement Point capability (e.g., XACML) to enforce regional legal and policy constraints on user access?",N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Identity & Access Management,IAM-12.5,Do you have an identity management system (enabling classification of data for a tenant) in place to enable both role-based and context-based entitlement to data?,N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Identity & Access Management,IAM-12.6,"Do you provide tenants with strong (multifactor) authentication options (e.g., digital certs, tokens, biometrics, etc.) for user access?",N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Identity & Access Management,IAM-12.7,Do you allow tenants to use third-party identity assurance services?,N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Identity & Access Management,IAM-12.8,"Do you support password (e.g., minimum length, age, history, complexity) and account lockout (e.g., lockout threshold, lockout duration) policy enforcement?",N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Identity & Access Management,IAM-12.9,Do you allow tenants/customers to define password and account lockout policies for their accounts?,N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Identity & Access Management,IAM-12.10,Do you support the ability to force password changes upon first logon?,N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Identity & Access Management,IAM-12.11,"Do you have mechanisms in place for unlocking accounts that have been locked out (e.g., self-service via email, defined challenge questions, manual unlock)?",N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Identity & Access Management,IAM-13.1,"Are utilities that can significantly manage virtualized partitions (e.g., shutdown, clone, etc.) appropriately restricted and monitored?",N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Identity & Access Management,IAM-13.2,"Do you have the capability to detect attacks that target the virtual infrastructure directly (e.g., shimming, Blue Pill, Hyper jumping, etc.)?",N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Identity & Access Management,IAM-13.3,Are attacks that target the virtual infrastructure prevented with technical controls?,N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Infrastructure & Virtualization Security,IVS-01.1,"Are file integrity (host) and network intrusion detection (IDS) tools implemented to help facilitate timely detection, investigation by root cause analysis, and response to incidents?",N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Infrastructure & Virtualization Security,IVS-01.2,Is physical and logical user access to audit logs restricted to authorized personnel?,N/A,"The audit log is a local file on the customer's machine, under the customer's access controls.",https://github.com/AxsionDev/Lunos/blob/dev/docs/audit-log.md
Infrastructure & Virtualization Security,IVS-01.3,Can you provide evidence that due diligence mapping of regulations and standards to your controls/architecture/processes has been done?,N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Infrastructure & Virtualization Security,IVS-01.4,Are audit logs centrally stored and retained?,N/A,"No Lunos-operated service produces audit logs. For customers: the product writes a local, hash-chained audit log the customer controls, and can forward it to the customer's SIEM (from v1.18.40). v1.18.39 and earlier record model calls and share uploads only, when a residency policy is set.",https://github.com/AxsionDev/Lunos/blob/dev/docs/audit-log.md
Infrastructure & Virtualization Security,IVS-01.5,"Are audit logs reviewed on a regular basis for security events (e.g., with automated tools)?",N/A,The audit log is the customer's; reviewing it is the customer's process. `lunos audit verify` checks its integrity (from v1.18.40).,https://github.com/AxsionDev/Lunos/blob/dev/docs/audit-log.md
Infrastructure & Virtualization Security,IVS-02.1,"Do you log and alert any changes made to virtual machine images regardless of their running state (e.g., dormant, off or running)?",N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Infrastructure & Virtualization Security,IVS-02.2,"Are changes made to virtual machines, or moving of an image and subsequent validation of the image's integrity, made immediately available to customers through electronic methods (e.g., portals or alerts)?",N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Infrastructure & Virtualization Security,IVS-03.1,"Do you use a synchronized time-service protocol (e.g., NTP) to ensure all systems have a common time reference?",N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Infrastructure & Virtualization Security,IVS-04.1,"Do you provide documentation regarding what levels of system (e.g., network, storage, memory, I/O, etc.) oversubscription you maintain and under what circumstances/scenarios?",N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Infrastructure & Virtualization Security,IVS-04.2,Do you restrict use of the memory oversubscription capabilities present in the hypervisor?,N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Infrastructure & Virtualization Security,IVS-04.3,"Do your system capacity requirements take into account current, projected, and anticipated capacity needs for all systems used to provide services to the tenants?",N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
